from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
U454Z301,U454Z3P,1,1301_45_180430,221_163_180616
U454Z301,U454Z72,1,1301_36_180430,303_3_180430
U454Z301,U454Z73,1,1301_76_180430,303_4_180601
U454Z301,U454Z72,1,1301_78_180430,303_103_180521
U454Z301,U454Z72,1,1301_9_180430,303_104_180521
U454Z301,U454Z73,1,1301_24_180430,303_162_180601
U454Z301,U454Z72,1,1301_26_180430,303_8_180430
U454Z301,U454Z73,1,1301_59_180430,303_163_180601
U454Z301,U454Z72,1,1301_38_180430,303_15_180430
U454Z301,U454Z73,1,1301_49_180430,303_16_180601
U454Z301,U454Z72,1,1301_51_180430,303_17_180430
U454Z301,U454Z73,1,1301_80_180430,303_18_180601
U454Z301,U454Z72,1,1301_28_180430,303_19_180430
U454Z301,U454Z73,1,1301_44_180430,303_20_180601
U454Z301,U454Z72,1,1301_7_180430,303_21_180430
U454Z301,U454Z73,1,1301_61_180430,303_22_180601
U454Z301,U454Z72,1,1301_49_180430,303_164_180601
U454Z301,U454Z73,1,1301_78_180430,303_165_180601
U454Z301,U454Z72,1,1301_67_180430,303_25_180430
U454Z301,U454Z73,1,1301_53_180430,303_26_180601
U454Z301,U454Z72,1,1301_61_180430,303_166_180601
U454Z301,U454Z73,1,1301_22_180430,303_167_180601
U454Z301,U454Z72,1,1301_24_180430,303_33_180430
U454Z301,U454Z73,1,1301_11_180430,303_34_180601
U454Z301,U454Z72,1,1301_13_180430,303_35_180430
U454Z301,U454Z73,1,1301_42_180430,303_36_180601
U454Z301,U454Z72,1,1301_55_180430,303_37_180430
U454Z301,U454Z72,1,1301_20_180430,303_38_180430
U454Z301,U454Z73,1,1301_7_180430,303_39_180601
U454Z301,U454Z72,1,1301_76_180430,303_169_180601
U454Z301,U454Z73,1,1301_38_180430,303_170_180601
U454Z301,U454Z72,1,1301_40_180430,303_43_180430
U454Z301,U454Z73,1,1301_51_180430,303_44_180601
U454Z301,U454Z73,1,1301_5_180430,303_46_180601
U454Z301,U454Z72,1,1301_22_180430,303_106_180521
U454Z301,U454Z73,1,1301_63_180430,303_171_180601
U454Z301,U454Z72,1,1301_65_180430,303_49_180430
U454Z301,U454Z73,1,1301_9_180430,303_172_180601
U454Z301,U454Z72,1,1301_11_180430,303_52_180430
U454Z301,U454Z73,1,1301_65_180430,303_53_180601
U454Z301,U454Z72,1,1301_63_180430,303_107_180521
U454Z301,U454Z73,1,1301_40_180430,303_173_180601
U454Z301,U454Z72,1,1301_59_180430,303_61_180430
U454Z301,U454Z73,1,1301_20_180430,303_62_180601
U454Z301,U454Z72,1,1301_15_180430,303_199_180610
U454Z301,U454Z72,1,1301_36_180430,303_3_180611
U454Z301,U454Z73,1,1301_76_180430,303_4_180611
U454Z301,U454Z72,1,1301_78_180430,303_103_180611
U454Z301,U454Z72,1,1301_9_180430,303_104_180611
U454Z301,U454Z73,1,1301_24_180430,303_162_180611
U454Z301,U454Z72,1,1301_26_180430,303_8_180611
U454Z301,U454Z73,1,1301_59_180430,303_163_180611
U454Z301,U454Z72,1,1301_38_180430,303_15_180611
U454Z301,U454Z73,1,1301_49_180430,303_16_180611
U454Z301,U454Z72,1,1301_51_180430,303_17_180611
U454Z301,U454Z73,1,1301_80_180430,303_201_180611
U454Z301,U454Z72,1,1301_28_180430,303_19_180611
U454Z301,U454Z73,1,1301_44_180430,303_202_180611
U454Z301,U454Z72,1,1301_7_180430,303_21_180611
U454Z301,U454Z73,1,1301_61_180430,303_22_180611
U454Z301,U454Z72,1,1301_49_180430,303_203_180611
U454Z301,U454Z73,1,1301_78_180430,303_165_180611
U454Z301,U454Z72,1,1301_67_180430,303_25_180611
U454Z301,U454Z73,1,1301_53_180430,303_204_180611
U454Z301,U454Z72,1,1301_61_180430,303_166_180611
U454Z301,U454Z73,1,1301_22_180430,303_167_180611
U454Z301,U454Z72,1,1301_24_180430,303_33_180611
U454Z301,U454Z73,1,1301_11_180430,303_34_180611
U454Z301,U454Z72,1,1301_13_180430,303_35_180611
U454Z301,U454Z73,1,1301_42_180430,303_207_180611
U454Z301,U454Z72,1,1301_55_180430,303_208_180611
U454Z301,U454Z72,1,1301_20_180430,303_38_180611
U454Z301,U454Z73,1,1301_7_180430,303_39_180611
U454Z301,U454Z72,1,1301_76_180430,303_209_180611
U454Z301,U454Z73,1,1301_38_180430,303_170_180611
U454Z301,U454Z72,1,1301_40_180430,303_43_180611
U454Z301,U454Z73,1,1301_51_180430,303_210_180611
U454Z301,U454Z73,1,1301_5_180430,303_46_180611
U454Z301,U454Z72,1,1301_22_180430,303_106_180611
U454Z301,U454Z73,1,1301_63_180430,303_171_180611
U454Z301,U454Z72,1,1301_65_180430,303_49_180611
U454Z301,U454Z73,1,1301_9_180430,303_172_180611
U454Z301,U454Z72,1,1301_11_180430,303_52_180611
U454Z301,U454Z73,1,1301_65_180430,303_53_180611
U454Z301,U454Z72,1,1301_63_180430,303_107_180611
U454Z301,U454Z73,1,1301_40_180430,303_173_180611
U454Z301,U454Z72,1,1301_59_180430,303_61_180611
U454Z301,U454Z73,1,1301_20_180430,303_62_180611
U456Z301,U456Z3,1,1307_49_180430,309_3_180430
U456Z301,U456Z3,1,1307_4_180430,309_4_180430
U456Z301,U456Z3,1,1307_73_180430,309_6_180430
U456Z301,U456Z3,1,1307_77_180430,309_8_180430
U456Z301,U456Z3,1,1307_71_180430,309_10_180430
U456Z301,U456Z3,1,1307_75_180430,309_12_180430
U456Z301,U456Z3,1,1307_67_180430,309_15_180430
U456Z301,U456Z3,1,1307_79_180430,309_17_180430
U1661Z2,U1661Z2,1,425_11_180430,311_204_180528
U456Z301,U456Z3,1,1307_8_180430,313_5_180430
U456Z301,U456Z3,1,1307_51_180430,313_7_180430
U456Z301,U456Z3,1,1307_36_180430,313_9_180430
U456Z301,U456Z3,1,1307_20_180430,313_11_180430
U456Z301,U456Z3,1,1307_14_180430,313_17_180430
U456Z301,U456Z3,1,1307_59_180430,313_18_180430
U456Z301,U456Z3,1,1307_61_180430,313_20_180430
U456Z301,U456Z3,1,1307_83_180430,313_21_180430
U456Z301,U456Z3,1,1307_10_180430,313_23_180430
U456Z301,U456Z3,1,1307_18_180430,313_24_180430
U456Z301,U456Z3,1,1307_42_180430,313_26_180430
U456Z301,U456Z3,1,1307_53_180430,313_29_180430
U456Z301,U456Z3,1,1307_55_180430,313_31_180430
U456Z301,U456Z3,1,1307_12_180430,313_34_180430
U456Z301,U456Z3,1,1307_34_180430,313_35_180430
U456Z301,U456Z3,1,1307_16_180430,313_37_180430
U456Z301,U456Z3,1,1307_57_180430,313_39_180430
U456Z301,U456Z3,1,1307_38_180430,313_41_180430
U456Z301,U456Z3,1,1307_146_180501,313_3_180501
U456Z301,U456Z3,1,1307_67_180430,313_46_180501
U456Z301,U456Z3,1,1307_159_180501,313_46_180501
U456Z301,U456Z3,1,1307_49_180430,313_48_180501
U456Z301,U456Z3,1,1307_150_180501,313_50_180501
U456Z301,U456Z3,1,1307_12_180430,313_52_180501
U456Z301,U456Z3,1,1307_73_180430,313_54_180501
U456Z301,U456Z3,1,1307_55_180430,313_56_180501
U1704Z4,U1704Z3,1,318_23_180430,318_59_180430
U1739Z2,U1739Z2,1,449_23_180430,318_94_180430
U2118Z301,U2118Z2,1,1305_40_180430,319_14_180601
U2118Z301,U2118Z2,1,1305_16_180430,319_34_180601
U1709Z1,U1709Z1,1,317_2_180505,321_61_180505
U461Z301,U461Z2,1,1309_77_180430,325_1_180430
U461Z301,U461Z2,1,1309_138_180501,325_1_180430
U461Z301,U461Z2,1,1309_95_180430,325_3_180430
U461Z301,U461Z2,1,1309_143_180501,325_3_180430
U461Z301,U461Z2,1,1309_62_180430,325_6_180430
U461Z301,U461Z2,1,1309_48_180430,325_8_180430
U461Z301,U461Z2,1,1309_16_180430,325_10_180430
U461Z301,U461Z2,1,1309_93_180430,325_12_180430
U461Z301,U461Z2,1,1309_140_180501,325_12_180430
U461Z301,U461Z2,1,1309_79_180430,325_14_180430
U461Z301,U461Z2,1,1309_133_180501,325_14_180430
U461Z301,U461Z2,1,1309_97_180430,325_16_180430
U461Z301,U461Z2,1,1309_81_180430,325_18_180430
U461Z301,U461Z2,1,1309_54_180430,325_20_180430
U461Z301,U461Z2,1,1309_22_180430,325_22_180430
U461Z301,U461Z2,1,1309_70_180430,325_24_180430
U461Z301,U461Z2,1,1309_101_180430,325_26_180430
U461Z301,U461Z2,1,1309_85_180430,325_28_180430
U461Z301,U461Z2,1,1309_58_180430,325_30_180430
U3303Z1,U3303Z1,1,454_43_180604,332_13_180430
U3303Z1,U3303Z1,1,455_12_180514,332_26_180430
U3303Z1,U3303Z1,1,454_24_180430,332_35_180430
U3303Z1,U3303Z1,1,454_24_180613,332_35_180430
U2109Z1,U2109Z2,1,452_51_180430,332_37_180430
U2109Z1,U2109Z2,1,452_53_180430,332_48_180430
U2109Z1,U2109Z2,1,452_57_180430,332_57_180430
U2109Z1,U2109Z2,1,452_10_180430,332_59_180430
U2109Z1,U2109Z2,1,452_75_180602,332_59_180430
U2109Z1,U2109Z2,1,452_22_180430,332_71_180430
U2109Z1,U2109Z2,1,452_34_180430,332_81_180430
U2109Z1,U2109Z2,1,452_31_180430,332_93_180430
U2109Z1,U2109Z2,1,452_24_180430,332_103_180430
U2109Z1,U2109Z2,1,452_81_180602,332_103_180430
U3303Z1,U3303Z1,1,454_45_180604,332_107_180430
U2109Z1,U2109Z2,1,452_41_180430,332_107_180430
U2109Z1,U2109Z2,1,452_4_180430,332_109_180430
