stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
U4370Z2,"Jeviněves",50.34530,14.33832,"4","https://pid.cz/zastavkova-tabla?stop=Jeviněves",0,,2,B
U4371Z1,"Spomyšl",50.33411,14.36055,"4","https://pid.cz/zastavkova-tabla?stop=Spomyšl",0,,2,A
U4371Z2,"Spomyšl",50.33411,14.36055,"4","https://pid.cz/zastavkova-tabla?stop=Spomyšl",0,,2,B
U4372Z1,"Spomyšl,U Lávky",50.33612,14.36817,"4","https://pid.cz/zastavkova-tabla?stop=Spomyšl,U Lávky",0,,2,A
U4372Z2,"Spomyšl,U Lávky",50.33598,14.36742,"4","https://pid.cz/zastavkova-tabla?stop=Spomyšl,U Lávky",0,,2,B
U4373Z1,"Vraňany,U Nadjezdu",50.33821,14.37787,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany,U Nadjezdu",0,,2,A
U4373Z2,"Vraňany,U Nadjezdu",50.33815,14.37788,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany,U Nadjezdu",0,,2,B
U4374Z1,"Vraňany,Škola",50.31907,14.36330,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany,Škola",0,,2,A
U4374Z2,"Vraňany,Škola",50.31918,14.36342,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany,Škola",0,,2,B
U4375Z1,"Vraňany",50.31718,14.36185,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany",0,,2,A
U4375Z2,"Vraňany",50.31707,14.36195,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany",0,,2,B
U4376Z1,"Vraňany,Mlčechvosty",50.31865,14.33990,"4","https://pid.cz/zastavkova-tabla?stop=Vraňany,Mlčechvosty",0,,2,A
U4377Z1,"Lužec n.Vlt.",50.32165,14.39925,"5","https://pid.cz/zastavkova-tabla?stop=Lužec n.Vlt.",0,,2,A
U4377Z2,"Lužec n.Vlt.",50.32140,14.40097,"5","https://pid.cz/zastavkova-tabla?stop=Lužec n.Vlt.",0,,2,B
U4378Z1,"Lužec n.Vlt.,Strojírny",50.32353,14.40678,"5","https://pid.cz/zastavkova-tabla?stop=Lužec n.Vlt.,Strojírny",0,,2,A
U4378Z2,"Lužec n.Vlt.,Strojírny",50.32350,14.40693,"5","https://pid.cz/zastavkova-tabla?stop=Lužec n.Vlt.,Strojírny",0,,2,B
U4379Z1,"Lužec n.Vlt.,Chramostek",50.32893,14.41643,"5","https://pid.cz/zastavkova-tabla?stop=Lužec n.Vlt.,Chramostek",0,,2,A
U4379Z2,"Lužec n.Vlt.,Chramostek",50.32902,14.41631,"5","https://pid.cz/zastavkova-tabla?stop=Lužec n.Vlt.,Chramostek",0,,2,B
U4380Z1,"Hořín,Zelčín",50.32568,14.43983,"4","https://pid.cz/zastavkova-tabla?stop=Hořín,Zelčín",0,,2,A
U4380Z2,"Hořín,Zelčín",50.32551,14.43975,"4","https://pid.cz/zastavkova-tabla?stop=Hořín,Zelčín",0,,2,B
U4381Z1,"Hořín,Vrbno",50.32465,14.45145,"4","https://pid.cz/zastavkova-tabla?stop=Hořín,Vrbno",0,,2,A
U4381Z2,"Hořín,Vrbno",50.32471,14.45140,"4","https://pid.cz/zastavkova-tabla?stop=Hořín,Vrbno",0,,2,B
U4382Z1,"Hořín",50.34443,14.46251,"4","https://pid.cz/zastavkova-tabla?stop=Hořín",0,,2,A
U4382Z2,"Hořín",50.34472,14.46265,"4","https://pid.cz/zastavkova-tabla?stop=Hořín",0,,2,B
U4383Z1,"Hořín,Brozánky",50.34933,14.45925,"4","https://pid.cz/zastavkova-tabla?stop=Hořín,Brozánky",0,,2,A
U4383Z2,"Hořín,Brozánky",50.34946,14.45957,"4","https://pid.cz/zastavkova-tabla?stop=Hořín,Brozánky",0,,2,B
U4384Z1,"Býkev",50.34716,14.41680,"5","https://pid.cz/zastavkova-tabla?stop=Býkev",0,,2,A
U4385Z1,"Býkev,Jenišovice",50.34707,14.40153,"5","https://pid.cz/zastavkova-tabla?stop=Býkev,Jenišovice",0,,2,A
U4385Z2,"Býkev,Jenišovice",50.34693,14.40168,"5","https://pid.cz/zastavkova-tabla?stop=Býkev,Jenišovice",0,,2,B
U4386Z1,"Kostomlaty n.L.,Vápensko,odb.",50.22590,14.92438,"4","https://pid.cz/zastavkova-tabla?stop=Kostomlaty n.L.,Vápensko,odb.",0,,2,A
U4386Z2,"Kostomlaty n.L.,Vápensko,odb.",50.22606,14.92438,"4","https://pid.cz/zastavkova-tabla?stop=Kostomlaty n.L.,Vápensko,odb.",0,,2,B
U4387Z1,"Kladno,Showa",50.11863,14.12931,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Showa",0,,2,A
U4388Z1,"Velké Přítočno,ObÚ",50.11826,14.13036,"2","https://pid.cz/zastavkova-tabla?stop=Velké Přítočno,ObÚ",0,,2,A
U4388Z2,"Velké Přítočno,ObÚ",50.11806,14.13027,"2","https://pid.cz/zastavkova-tabla?stop=Velké Přítočno,ObÚ",0,,2,B
U4389Z1,"Dolany",50.11587,14.14937,"2","https://pid.cz/zastavkova-tabla?stop=Dolany",0,,2,A
U4389Z2,"Dolany",50.11574,14.14920,"2","https://pid.cz/zastavkova-tabla?stop=Dolany",0,,2,B
U4390Z1,"Hřebeč,Netřeby",50.13170,14.15303,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč,Netřeby",0,,2,A
U4390Z2,"Hřebeč,Netřeby",50.13145,14.15260,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč,Netřeby",0,,2,B
U4391Z1,"Hřebeč",50.13777,14.16004,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč",0,,2,A
U4391Z2,"Hřebeč",50.13774,14.16034,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč",0,,2,B
U4391Z3,"Hřebeč",50.13674,14.15876,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč",0,,2,C
U4391Z4,"Hřebeč",50.13655,14.15832,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč",0,,2,D
U4391Z5,"Hřebeč",50.13701,14.15971,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč",0,,2,E
U4391Z6,"Hřebeč",50.13696,14.15946,"2","https://pid.cz/zastavkova-tabla?stop=Hřebeč",0,,2,F
U4392Z1,"Lidice,ObÚ",50.14339,14.18991,"2","https://pid.cz/zastavkova-tabla?stop=Lidice,ObÚ",0,,2,A
